,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour57,0.038886407,0.005481837,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.070910506,0.015349144,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.091497427,0.021379164,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.738343597,0.738343597,0.738343597,0.13049302,0.203015113,0.31152749
Hour58,0.038127079,0.006023851,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.06952585,0.016866782,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.089710775,0.023493018,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.739290781,0.739290781,0.739290781,0.130275707,0.203148096,0.311854691
Hour59,0.038510552,0.006285578,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.070225123,0.017599618,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.090613062,0.024513753,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.744157448,0.744157448,0.744157448,0.130920906,0.204580205,0.313777714
Hour60,0.037349677,0.005704295,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.068108234,0.015972027,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.087881593,0.022246752,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.731509629,0.731509629,0.731509629,0.129178749,0.200835725,0.308779243
Hour61,0.039422452,0.007323596,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071888,0.020506069,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.09275871,0.028562025,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.759889106,0.759889106,0.759889106,0.132870824,0.209149533,0.319971633
Hour62,0.039385476,0.008525576,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071820573,0.023871612,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092671708,0.033249745,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.771685075,0.771685075,0.771685075,0.134035828,0.212447649,0.324572351
Hour63,0.039272863,0.010050935,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.07161522,0.028142617,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092406736,0.039198645,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.786269912,0.786269912,0.786269912,0.135448574,0.2165133,0.330256279
Hour64,0.040485584,0.011741801,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.073826653,0.032877043,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.095260198,0.045793025,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.810305913,0.810305913,0.810305913,0.138352162,0.22345916,0.339704121
Hour65,0.037383893,0.00941627,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.068170628,0.026365555,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.087962101,0.036723451,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.69474995,0.69474995,0.69474995,0.1137861,0.185345988,0.279191806
Hour66,0.032178335,0.005374556,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.05867814,0.015048758,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.075713729,0.02096077,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.549656484,0.549656484,0.549656484,0.085399989,0.138591043,0.207036108
Hour67,0.03161017,0.004424317,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.057642075,0.012388087,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.074376871,0.017254835,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.536805622,0.536805622,0.536805622,0.083881585,0.134894308,0.201993315
Hour68,0.028172419,0.003887274,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.051373235,0.010884368,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.066288045,0.01516037,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.437157735,0.437157735,0.437157735,0.060767953,0.101176092,0.147665382
Hour69,0.026650514,0.003787984,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.048597996,0.010606356,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.062707092,0.014773139,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.427206128,0.427206128,0.427206128,0.059146758,0.098122841,0.143697198
