,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT,,,,,,,,,,,
Hour50,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197694729,0.197694729,0.197694729,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour51,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197688406,0.197688406,0.197688406,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour52,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197682085,0.197682085,0.197682085,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour53,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.199685993,0.199685993,0.199685993,0.012852237,0.020856441,0.029028045,,17.7626781,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour54,0.009768234,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.222751313,0.222751313,0.222751313,0.018696844,0.028934264,0.041567551,,20.6856711,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour55,0.010994511,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.020048813,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.025869437,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.229958386,0.229958386,0.229958386,0.019923121,0.031170416,0.044452908,,23.2824933,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour56,0.013911655,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.025368312,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.032733306,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.30692061,0.30692061,0.30692061,0.040697486,0.058733119,0.08848372,,29.4599754,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour57,0.030439687,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.055507665,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.071622793,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.583564624,0.583564624,0.583564624,0.11079718,0.155602085,0.238874034,,64.4605137,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour58,0.033127182,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.060408391,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.077946311,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.599367096,0.599367096,0.599367096,0.113484675,0.160502811,0.245197551,,70.1516799,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour59,0.035641343,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.064993037,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.083861983,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.614149954,0.614149954,0.614149954,0.115998835,0.165087457,0.251113224,,75.4757847,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour60,0.03760146,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068567368,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088474023,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.625673733,0.625673733,0.625673733,0.117958952,0.168661788,0.255725264,,79.6266207,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour61,0.036395402,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.066368086,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.08563624,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.618572953,0.618572953,0.618572953,0.116752895,0.166462507,0.252887481,,77.072616,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour62,0.038077979,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.069436315,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.089595246,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.628464146,0.628464146,0.628464146,0.118435472,0.169530736,0.256846486,,80.6357214,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour63,0.038343731,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.069920922,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.090220544,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.63002107,0.63002107,0.63002107,0.118701224,0.170015342,0.257471785,,81.1984896,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour64,0.038523862,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.070249395,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.090644381,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.63107434,0.63107434,0.63107434,0.118881355,0.170343816,0.257895622,,81.5799429,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour65,0.039893347,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.072746692,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.0938667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.639123816,0.639123816,0.639123816,0.12025084,0.172841113,0.26111794,,84.48003,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour66,0.036279241,0,0,0,0.007177065,0.00548248,0,0,0,0.049840727,0.066156263,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.085362921,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.558049172,0.558049172,0.558049172,0.098779513,0.144007479,0.215447218,,76.8266289,0,0,0,26.9139924,22.8768939,22.4283276,0,0,44.8566543
Hour67,0.027500627,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.050148203,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.064707359,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.446595072,0.446595072,0.446595072,0.072143678,0.105756214,0.157624713,,58.2366231,0,0,0,19.2242799,16.3406385,16.020234,0,0,32.0404671
Hour68,0.023208773,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.04232188,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.054608878,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.421342548,0.421342548,0.421342548,0.067851824,0.097929891,0.147526232,,49.1479902,0,0,0,19.2242799,16.3406385,16.020234,0,0,32.0404671
