,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour65,0.026493735,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.048312105,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.0623382,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.582962749,0.582962749,0.582962749,0.112618512,0.165067569,0.260989099
Hour66,0.021509183,0,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.039222628,0,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.050609842,0,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.47958645,0.47958645,0.47958645,0.08849512,0.130032432,0.205116096
Hour67,0.016734926,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.030516629,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.039376296,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.37744718,0.37744718,0.37744718,0.064582023,0.095380775,0.149737904
Hour68,0.016188408,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.029520039,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.038090372,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.37422605,0.37422605,0.37422605,0.064035506,0.094384184,0.148451981
Hour69,0.012844438,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.02342221,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.030222206,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.280500237,0.280500237,0.280500237,0.041552697,0.062340698,0.096439173
Hour70,0.012297741,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.022425292,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.02893586,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.277278051,0.277278051,0.277278051,0.041006,0.06134378,0.095152828
Hour71,0.007814557,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.014250074,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.018387192,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.176850975,0.176850975,0.176850975,0.017383976,0.027222903,0.040459514
Hour72,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015789047,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.15183702,0.15183702,0.15183702,0.011495055,0.018722926,0.026825208
Hour73,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150222514,0.150222514,0.150222514,0.011221663,0.018224389,0.026181934
Hour74,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150216193,0.150216193,0.150216193,0.011221663,0.018224389,0.026181934
Hour75,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150209871,0.150209871,0.150209871,0.011221663,0.018224389,0.026181934
Hour76,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150203548,0.150203548,0.150203548,0.011221663,0.018224389,0.026181934
Hour77,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015789047,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.151805411,0.151805411,0.151805411,0.011495055,0.018722926,0.026825208
Hour78,0.007814586,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.014250128,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.018387262,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.176806897,0.176806897,0.176806897,0.017384006,0.027222957,0.040459584
Hour79,0.009322974,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017000718,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.02193641,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185673448,0.185673448,0.185673448,0.018892394,0.029973548,0.044008733
Hour80,0.011131246,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.020298155,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.026191168,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.270353101,0.270353101,0.270353101,0.039839506,0.059216644,0.092408135
