Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,
6,8,0.054112711,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.272686431,0.419716497,0.436236043,,245.4177879
6,9,0.061279481,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.283430263,0.437627099,0.421172623,,255.0872367
6,10,0.060239956,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.281864655,0.435021966,0.396585803,,253.6781895
6,11,0.061482094,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.28372154,0.438120989,0.435676451,,255.349386
6,12,0.063176345,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.286256597,0.442350297,0.378463578,,257.6309373
6,13,0.064246864,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.287856052,0.445020271,0.473066768,,259.0704468
6,14,0.048361016,0,0,0,0.006408094,0.00544688,0.005340078,0,0,0.010680156,0.224397581,0.300633805,0.34393126,,201.9578229
6,15,0.048487582,0,0,0,0.006408094,0.00544688,0.005340078,0,0,0.010680156,0.224581108,0.300943898,0.339898744,,202.1229972
6,16,0.05160708,0,0,0,0.006408094,0.00544688,0.005340078,0,0,0.010680156,0.229254032,0.30873632,0.312066322,,206.3286288
6,17,0.048795909,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.21370999,0.271797635,0.293698695,,192.338991
6,18,0.022890108,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.174844967,0.207026811,0.181932718,,157.3604703
6,19,0.021281925,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.172426369,0.20300003,0.195702503,,155.1837321
6,20,0.021281925,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.172420048,0.202993709,0.224053353,,155.1780432
6,21,0.019673799,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170001538,0.198967073,0.171874001,,153.0013842
6,22,0.018065498,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167582765,0.194939999,0.199152059,,150.8244885
